URL da manifestação,Titulo,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520134542,Disponibilização de autorizações áreas verdes,Resolvida,20/05/15,21/07/2015 11:25,Sugestão,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520142813,Redutor de Velocidade,Resolvida,20/05/15,11/06/2015 15:54,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520144345,Bloqueio de testada,Resolvida,20/05/15,08/06/2015 10:16,Dúvida,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520150735,Andamento de protocolo,Resolvida,20/05/15,08/06/2015 10:11,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520151635,Terreno baldio,Resolvida,20/05/15,08/06/2015 10:15,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520152023,Andamento de obras,Resolvida,20/05/15,11/06/2015 15:56,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520152516,Som alto,Resolvida,20/05/15,11/06/2015 15:57,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520153105,Descumprimento da Lei,Resolvida,20/05/15,11/06/2015 16:01,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520153946,Semáforo,Resolvida,20/05/15,08/06/2015 10:17,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520154159,Semáforo,Resolvida,20/05/15,08/06/2015 10:18,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520154802,Reforma e revitalização,Resolvida,20/05/15,08/06/2015 10:13,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520155407,Pista de skate,Resolvida,20/05/15,21/07/2015 11:37,Denúncia,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520160447,Limpeza de terreno baldio,Aceito,20/05/15,20/05/2015 16:05,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520160850,Coleta de lixo,Aceito,20/05/15,20/05/2015 16:09,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521081032,ouvidoria e 156,Resolvida,21/05/15,11/06/2015 11:14,Dúvida,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521085108,Bebida alcoólica nos estádios de futebol,Resolvida,21/05/15,11/06/2015 16:11,Dúvida,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521085957,156 não atende,Resolvida,21/05/15,11/06/2015 16:12,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521090454,156,Resolvida,21/05/15,11/06/2015 16:13,Elogio,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091041,156 não resolve,Resolvida,21/05/15,11/06/2015 16:14,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091537,Indisposição de servidor,Resolvida,21/05/15,11/06/2015 16:15,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091952,Aulas,Resolvida,21/05/15,11/06/2015 16:16,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521092645,Manutenção do Asfalto,Resolvida,21/05/15,11/06/2015 16:21,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521093955,Redutor de velocidade,Resolvida,21/05/15,11/06/2015 16:21,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521095158,Fiscalização de COPEL e SANEPAR,Resolvida,21/05/15,11/06/2015 16:22,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521101844,Limpeza de ruas com feiras,Resolvida,21/05/15,11/06/2015 16:23,Dúvida,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521102457,Sanção para descumprimento da Lei,Resolvida,21/05/15,11/06/2015 16:24,Dúvida,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521135520,Multa,Resolvida,21/05/15,11/06/2015 16:25,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522105759,Lei 13.805/2011,Resolvida,22/05/15,11/06/2015 16:27,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522113141,Som alto,Tramitando,22/05/15,10/07/2015 16:41,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522113734,Estacionamento Irregular e perturbação do sossego,Tramitando,22/05/15,16/07/2015 09:03,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522141747,Ref. Lei 13.805/2011,Resolvida,22/05/15,11/06/2015 16:30,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150523102721,linhas de onibus agua verde-juvevê e agua-verde abranches que passarão a operar somente por cartão transporte,Resolvida,23/05/15,21/07/2015 11:49,Sugestão,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525160749,pedido de acesso a informação lei 12.527/11,Resolvida,25/05/15,21/07/2015 11:54,Pedido de acesso à informação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525162637,falta de transparência e eficiência na central 156,Resolvida,25/05/15,21/07/2015 12:00,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525170016,desidia e mal funcionamento em conselho municipal,Aceito,25/05/15,02/06/2015 08:57,Denúncia,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525172935,Trasparencia e eficiencia serviço público,Tramitando,25/05/15,21/07/2015 14:28,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150525230001,Obras p/ Rua: Edvino Antonio Deboni,Tramitando,25/05/15,23/07/2015 13:52,Pedido de acesso à informação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526111308,Estreitamento de rua,Tramitando,26/05/15,21/07/2015 15:00,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526123039,falta de resposta solicitação 156,Tramitando,26/05/15,21/07/2015 15:34,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526123609,atendimento prefeitura ja abri 156 desde janeiro e nada foi feito,Aceito,26/05/15,02/06/2015 09:02,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526123726,solicitação 156 sem respostas,Aceito,26/05/15,02/06/2015 09:06,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150527145637,SIC Serviço de Informação ao Cidadão da CMC,Tramitando,27/05/15,16/07/2015 10:00,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150602084456,156,Tramitando,02/06/15,06/08/2015 11:11,Reclamação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150602154107,Mal atendimento,Resolvida,02/06/15,11/06/2015 16:35,Reclamação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150603174849,serviço de protocolo de requerimentos,Aceito,03/06/15,11/06/2015 16:39,Reclamação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150609115654,respostas?,Resolvida,09/06/15,23/07/2015 13:57,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150617153955,melhora formulario 156 e transparência nas respostas e serviços,Aceito,17/06/15,30/06/2015 16:34,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150618095403,Lixeiras irregulares,Tramitando,18/06/15,23/07/2015 14:07,Pedido de acesso à informação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150618123604,solicitação de providências a ouvidoria,Pendente,18/06/15,18/06/2015 12:36,Reclamação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150618134915,solicitação de providências a ouvidoria,Pendente,18/06/15,18/06/2015 13:49,Denúncia,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150623112501,Protocolos 156 sem reposta e depois de 8 meses dão resposta evasiva,Pendente,23/06/15,23/06/2015 11:25,Denúncia,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624113733,Roçada de mato,Aceito,24/06/15,15/07/2015 11:48,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624152440,orientação,Resolvida,24/06/15,24/06/2015 15:27,Dúvida,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624152928,Orientação,Resolvida,24/06/15,24/06/2015 15:31,Dúvida,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150625160600,Solicito providências a ouvidoria com a urgência que o caso requer,Pendente,25/06/15,25/06/2015 16:06,Denúncia,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150625173031,Transparência nas solicitações do cidadão.,Pendente,25/06/15,25/06/2015 17:30,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150626150732,Solicitação de providências e investigação,Pendente,26/06/15,26/06/2015 15:07,Reclamação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150629161912,Horário para estacionar,Resolvida,29/06/15,09/07/2015 11:54,Sugestão,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150630113631,Vacinação moradores de rua,Aceito,30/06/15,01/07/2015 11:32,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150630113834,Limpeza de rua,Aceito,30/06/15,30/06/2015 11:39,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150630114511,Som Alto,Aceito,30/06/15,30/06/2015 11:55,Solicitação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150630115225,Táxis,Aceito,30/06/15,30/06/2015 11:52,Sugestão,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150701092358,Quebra de sigilo 156,Resolvida,01/07/15,24/07/2015 10:37,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150701093329,Tapa buraco,Tramitando,01/07/15,03/08/2015 15:57,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150701114446,Recolhimento de lixo e lixo reciclável,Tramitando,01/07/15,15/07/2015 11:42,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150701145318,Troca de lampada,Tramitando,01/07/15,15/07/2015 11:38,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150702083723,PLACA COM A INDICAÇÃO UNIDADE DE SAÚDE COA-,Resolvida,02/07/15,02/07/2015 08:38,Sugestão,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150702084208,ÁREA DE LAZER E ESPORTE,Aceito,02/07/15,02/07/2015 08:42,Sugestão,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150702100610,ANTIPÓ e TAPA BURACO,Tramitando,02/07/15,15/07/2015 11:57,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150703112638,Solicitação de mudanças no formulario ( requerimento) ouvidoria,Tramitando,03/07/15,06/07/2015 14:20,Solicitação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706091517,SOLICITA COLETA DE CALIÇAS.,Tramitando,06/07/15,15/07/2015 11:58,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706101244,Tapa buraco,Tramitando,06/07/15,06/08/2015 11:37,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706101803,Coleta de lixo vegetal,Tramitando,06/07/15,15/07/2015 11:59,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706102242,Coleta de lixo vegetal,Tramitando,06/07/15,06/08/2015 11:23,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706102652,Coleta de Lixo Vegetal,Tramitando,06/07/15,06/08/2015 11:34,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706103151,Coleta de lixo vegetal,Tramitando,06/07/15,06/08/2015 11:13,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706103459,EStacionamento irregular de caminhões,Aceito,06/07/15,09/07/2015 16:04,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706150705,Iluminação Pública,Tramitando,06/07/15,20/08/2015 10:46,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150706174504,Recolhimento de poda de vegetação,Tramitando,06/07/15,06/08/2015 11:41,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150707155401,Troca de lampada,Tramitando,07/07/15,06/08/2015 11:47,Reclamação,7
