URL da manifestação,Titulo,categoria,Situação,Registro,Alteração,Tipo,Nº Mês
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150602084456,156,156,Tramitando,02/06/15,06/08/2015 11:11,Reclamação,6
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521090454,156,156,Resolvida,21/05/15,11/06/2015 16:13,Elogio,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521085957,156 não atende,156,Resolvida,21/05/15,11/06/2015 16:12,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091041,156 não resolve,156,Resolvida,21/05/15,11/06/2015 16:14,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150731115057,Agente SETRAN Novena Perpétuo Socorro,SETRAN,Pendente,31/07/15,31/07/2015 11:50,Denúncia,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150823212548,Ainda sem respostas!,OBRAS,Pendente,23/08/15,23/08/2015 21:25,Reclamação,8
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520152023,Andamento de obras,OBRAS,Resolvida,20/05/15,11/06/2015 15:56,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520150735,Andamento de protocolo,156,Resolvida,20/05/15,08/06/2015 10:11,Solicitação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150710180142,anti-pó,ANTIPÓ,Tramitando,10/07/15,06/08/2015 13:45,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150702100610,ANTIPÓ e TAPA BURACO,ANTIPÓ,Tramitando,02/07/15,15/07/2015 11:57,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150715091559,ANTIPÓ e TAPA BURACO,ANTIPÓ,Tramitando,15/07/15,06/08/2015 14:09,Reclamação,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150702084208,ÁREA DE LAZER E ESPORTE,ESPORTE-LAZER,Aceito,02/07/15,02/07/2015 08:42,Sugestão,7
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526123609,atendimento prefeitura ja abri 156 desde janeiro e nada foi feito,ANIMAIS,Aceito,26/05/15,02/06/2015 09:02,Reclamação,5
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091952,Aulas,CGE,Resolvida,21/05/15,11/06/2015 16:16,Reclamação,5
