http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520134542 - sgm|transparência
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20161004093841 - smma,coleta de lixo vegetal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520144345 - setran|fiscalização de trânsito
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150520160850 - smma|coleta de lixo
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521081032 - omc
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521085108 - cmc|projeto de lei
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521085957 - central 156|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521090454 - central 156|bom atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091041 - central 156
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091041 - central 156|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091537 - sms|mal atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521091952 - falta de aulas
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150521092645 - smop|operação tapa buracos
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150522105759 - omc|regulamentação de lei
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526123609 - fas|atendimento a moradores de rua
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150526123726 - central 156|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150527145637 - cmc|sic
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150602154107 - cmc|mal atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150618095403 - pmc|legislação municipal
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150618123604 - comupa|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150618134915 - sgm|falta de atendimento
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624113733 - smma|limpeza de terreno
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624152440 - sigiloso
http://www.ouvidoria.curitiba.pr.leg.br/ouvidoria/20150624152928 - omc|pedido de orientação
